tree_type,order,range_width,low,high,result_count,selectivity_percent,avg_elapsed_ms,repeats
B-tree,10,100,202349218,202349318,23,0.023000,15.964571,7
B*-tree,10,100,202349218,202349318,23,0.023000,15.666043,7
B+tree,10,100,202349218,202349318,23,0.023000,0.004743,7
B-tree,10,1000,202348768,202349768,143,0.143000,17.578443,7
B*-tree,10,1000,202348768,202349768,143,0.143000,17.247486,7
B+tree,10,1000,202348768,202349768,143,0.143000,0.014671,7
B-tree,10,10000,202344268,202354268,1380,1.380000,25.539657,7
B*-tree,10,10000,202344268,202354268,1380,1.380000,20.050814,7
B+tree,10,10000,202344268,202354268,1380,1.380000,0.117814,7
B-tree,10,100000,202299268,202399268,14197,14.197000,18.562286,7
B*-tree,10,100000,202299268,202399268,14197,14.197000,14.161157,7
B+tree,10,100000,202299268,202399268,14197,14.197000,1.769371,7
B-tree,10,500000,202099268,202599268,71553,71.553000,27.538857,7
B*-tree,10,500000,202099268,202599268,71553,71.553000,22.781386,7
B+tree,10,500000,202099268,202599268,71553,71.553000,14.848500,7
B-tree,10,1000000,201849268,202849268,100000,100.000000,26.950686,7
B*-tree,10,1000000,201849268,202849268,100000,100.000000,19.914357,7
B+tree,10,1000000,201849268,202849268,100000,100.000000,19.543800,7
