tree_type,order,workload,query_count,elapsed_seconds,mean_seconds,height,node_count,key_count,record_count,split_count,merge_count,redistribution_count,utilization
B-tree,3,insert_all,100000,1.7095941999996285,1.7095941999996285e-05,13,74371,100000,100000,74357,0,0,0.6723050651463608
B-tree,3,point_search,10000,0.11717210000006162,1.1717210000006162e-05,13,74371,100000,100000,74357,0,0,0.6723050651463608
B-tree,3,range_query,1,0.09701549999954295,0.09701549999954295,13,74371,100000,100000,74357,0,0,0.6723050651463608
B-tree,3,delete_random,2000,0.04007350000028964,2.003675000014482e-05,13,73169,98000,98000,74357,1202,571,0.6696825158195411
B*-tree,3,insert_all,100000,4.770275700000639,4.7702757000006386e-05,14,69591,100000,100000,69576,0,279774,0.7184837119742495
B*-tree,3,point_search,10000,0.11391349999939848,1.1391349999939848e-05,14,69591,100000,100000,69576,0,279774,0.7184837119742495
B*-tree,3,range_query,1,0.08159160000013799,0.08159160000013799,14,69591,100000,100000,69576,0,279774,0.7184837119742495
B*-tree,3,delete_random,2000,0.04850429999987682,2.4252149999938412e-05,14,69010,98000,98000,69576,581,280237,0.7100420228952325
B+tree,3,insert_all,100000,5.92916570000034,5.92916570000034e-05,13,116466,166606,100000,116452,0,0,0.7152559545275016
B+tree,3,point_search,10000,0.08971089999977266,8.971089999977266e-06,13,116466,166606,100000,116452,0,0,0.7152559545275016
B+tree,3,range_query,1,0.013630600000396953,0.013630600000396953,13,116466,166606,100000,116452,0,0,0.7152559545275016
B+tree,3,delete_random,2000,0.11768819999997504,5.884409999998752e-05,13,116048,164358,98000,116452,418,509,0.7081466289811112
B-tree,5,insert_all,100000,0.9761533000000782,9.761533000000781e-06,8,36776,100000,100000,36767,0,0,0.6797911681531433
B-tree,5,point_search,10000,0.09413239999958023,9.413239999958024e-06,8,36776,100000,100000,36767,0,0,0.6797911681531433
B-tree,5,range_query,1,0.0661606000003303,0.0661606000003303,8,36776,100000,100000,36767,0,0,0.6797911681531433
B-tree,5,delete_random,2000,0.03004640000017389,1.5023200000086945e-05,8,36367,98000,98000,36767,409,545,0.6736876838892403
B*-tree,5,insert_all,100000,2.3818021999995835,2.3818021999995834e-05,8,30930,100000,100000,30921,0,108799,0.8082767539605561
B*-tree,5,point_search,10000,0.09247030000005907,9.247030000005907e-06,8,30930,100000,100000,30921,0,108799,0.8082767539605561
B*-tree,5,range_query,1,0.053078500000083295,0.053078500000083295,8,30930,100000,100000,30921,0,108799,0.8082767539605561
B*-tree,5,delete_random,2000,0.030801599999904283,1.5400799999952143e-05,8,30917,98000,98000,30921,13,109006,0.7924442863149723
B+tree,5,insert_all,100000,2.8440080000000307,2.8440080000000306e-05,8,46808,134280,100000,46799,0,0,0.7171850965646898
B+tree,5,point_search,10000,0.04816030000074534,4.8160300000745335e-06,8,46808,134280,100000,46799,0,0,0.7171850965646898
B+tree,5,range_query,1,0.006132200000138255,0.006132200000138255,8,46808,134280,100000,46799,0,0,0.7171850965646898
B+tree,5,delete_random,2000,0.06704360000003362,3.3521800000016813e-05,8,46699,132197,98000,46799,109,456,0.7077078738302748
B-tree,10,insert_all,100000,0.7704985000000306,7.704985000000305e-06,5,16387,100000,100000,16381,0,0,0.6780442491677007
B-tree,10,point_search,10000,0.09168659999977535,9.168659999977535e-06,5,16387,100000,100000,16381,0,0,0.6780442491677007
B-tree,10,range_query,1,0.038600599999881524,0.038600599999881524,5,16387,100000,100000,16381,0,0,0.6780442491677007
B-tree,10,delete_random,2000,0.029482500000085565,1.4741250000042782e-05,5,16376,98000,98000,16381,11,287,0.6649297074309287
B*-tree,10,insert_all,100000,1.6550968999999895,1.6550968999999895e-05,5,13107,100000,100000,13101,0,53336,0.8477234387053567
B*-tree,10,point_search,10000,0.07734499999969557,7.734499999969558e-06,5,13107,100000,100000,13101,0,53336,0.8477234387053567
B*-tree,10,range_query,1,0.03533229999993637,0.03533229999993637,5,13107,100000,100000,13101,0,53336,0.8477234387053567
B*-tree,10,delete_random,2000,0.023179499999969266,1.1589749999984633e-05,5,13107,98000,98000,13101,0,53337,0.8307689699312496
B+tree,10,insert_all,100000,1.5212587000005442,1.5212587000005441e-05,5,17945,115456,100000,17939,0,0,0.7148757004427108
B+tree,10,point_search,10000,0.04602739999972982,4.6027399999729824e-06,5,17945,115456,100000,17939,0,0,0.7148757004427108
B+tree,10,range_query,1,0.004199900000458001,0.004199900000458001,5,17945,115456,100000,17939,0,0,0.7148757004427108
B+tree,10,delete_random,2000,0.04419400000006135,2.2097000000030675e-05,5,17807,113318,98000,17939,138,430,0.7070752450659229
